host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
20720949,Marta,Copacabana,Entire home/apt,79,5,0,1,365
12534334,Bruno,Copacabana,Entire home/apt,1300,1,0,1,365
27215857,Ana Roberta,Leme,Entire home/apt,199,3,4,1,365
11386725,Carolina,Copacabana,Entire home/apt,105,3,116,7,263
22928392,Daniel,Copacabana,Entire home/apt,252,4,79,2,124
85724737,Luiz Eduardo,Copacabana,Entire home/apt,240,1,9,1,164
137445434,Ricardo,Ipanema,Entire home/apt,481,2,4,1,154
148641845,Marise,Ipanema,Entire home/apt,879,1,1,1,322
12055952,Mariana,Copacabana,Entire home/apt,90,4,171,1,91
168128045,Werles,Ipanema,Entire home/apt,650,2,0,2,85
5347577,RaissaFernandes,Copacabana,Entire home/apt,451,1,4,1,326
13354377,Eduardo,Copacabana,Entire home/apt,680,1,1,5,356
81876389,Mario,Leme,Entire home/apt,135,3,0,42,210
3413077,Janaina,Copacabana,Entire home/apt,297,1,298,1,319
74839689,Lucia,Copacabana,Private room,376,7,0,2,362
15976245,Nilma,Copacabana,Entire home/apt,177,2,112,1,107
1492076,Branca,Copacabana,Private room,101,1,4,4,90
13219824,Ezequiel,Copacabana,Entire home/apt,849,3,0,1,365
90429776,Geny,Copacabana,Entire home/apt,601,4,0,1,363
32140168,Charles,Copacabana,Entire home/apt,259,2,27,3,261
48354426,Andreas,Ipanema,Entire home/apt,5901,2,0,1,358
52030910,Cristina,Leme,Entire home/apt,270,3,3,1,88
39018352,Marcos,Copacabana,Entire home/apt,488,1,19,4,350
27308403,Jocilene,Copacabana,Private room,150,1,19,2,362
138579858,Sergio Henrique De Almeida,Copacabana,Entire home/apt,83,1,0,1,365
84569339,Maria Ofélia,Leme,Entire home/apt,800,2,0,1,365
24519304,Greice,Copacabana,Private room,199,3,0,3,364
2413540,Evanio,Copacabana,Private room,128,3,15,5,335
199897874,Sonia,Copacabana,Entire home/apt,255,2,4,1,210
211212807,Paulo,Copacabana,Private room,86,30,0,1,365
26894700,Mario,Ipanema,Entire home/apt,180,1,1,1,357
46975659,Magno,Copacabana,Entire home/apt,154,3,24,1,352
52122756,Eliete,Leme,Entire home/apt,729,3,0,5,365
61857151,Tissy,Copacabana,Entire home/apt,199,4,5,1,325
79484264,William,Leme,Entire home/apt,901,2,0,3,365
108015415,Vera,Copacabana,Private room,101,1,10,1,317
15525712,Stitzi,Leme,Entire home/apt,199,2,0,1,340
5125299,Antonio Carlos,Leme,Private room,162,2,0,2,95
2223774,Nadja E Carol,Copacabana,Private room,180,2,9,3,158
31275569,André,Ipanema,Entire home/apt,541,1,0,114,356
84048033,Frederic,Copacabana,Entire home/apt,203,3,1,6,95
4893291,Miro,Copacabana,Private room,109,1,0,1,194
8975746,Laura,Copacabana,Entire home/apt,210,3,0,40,361
137007102,Fabiana,Ipanema,Entire home/apt,541,3,0,3,365
61433326,Account Manager,Ipanema,Shared room,64,1,4,5,281
115507233,Penha,Ipanema,Entire home/apt,203,2,30,3,279
44254450,Raquel,Copacabana,Entire home/apt,105,2,36,1,123
57437565,Carolina,Ipanema,Entire home/apt,162,2,94,1,113
134895302,Fernanda,Copacabana,Entire home/apt,349,2,0,1,358
12909867,Giovanni,Ipanema,Entire home/apt,169,2,1,35,347
13639453,Solange,Ipanema,Entire home/apt,233,2,103,1,313
30165706,Yuri E Alessandra,Copacabana,Entire home/apt,676,1,0,4,304
126896572,Beta,Copacabana,Entire home/apt,150,1,0,1,363
22805631,Latin Exclusive,Ipanema,Entire home/apt,751,4,6,75,83
73850174,Manuela,Copacabana,Entire home/apt,999,6,0,1,363
4975068,Cristina,Copacabana,Entire home/apt,349,1,0,3,364
4307081,Nereu A,Ipanema,Entire home/apt,676,1,0,55,365
49633301,Isabela Caroline,Leblon,Entire home/apt,192,1,0,4,127
1673501,Josy,Santa Teresa,Private room,548,1,0,5,365
7825664,Bianca,Santa Teresa,Private room,60,1,0,2,88
50458137,Mariana,Botafogo,Entire home/apt,601,1,0,54,180
113221953,Thamirys,Santa Teresa,Entire home/apt,500,4,0,1,90
30068364,Terezinha,Leblon,Private room,1998,1,0,1,365
14775548,Nana,Santa Teresa,Private room,192,4,0,1,365
