host_id,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
26922963,Copacabana,Entire home/apt,199,2,0,1,365
4445879,Copacabana,Entire home/apt,109,1,7,2,363
48720390,Copacabana,Entire home/apt,398,1,0,4,179
961863,Copacabana,Entire home/apt,244,3,0,1,365
192303063,Copacabana,Entire home/apt,150,2,1,6,120
70041976,Leme,Shared room,41,1,1,2,365
15868741,Copacabana,Entire home/apt,342,2,2,1,88
171170728,Copacabana,Entire home/apt,500,5,0,1,365
14904619,Copacabana,Entire home/apt,800,10,0,1,358
71285795,Copacabana,Entire home/apt,563,7,1,1,363
156963631,Copacabana,Entire home/apt,349,1,2,1,72
13254738,Copacabana,Entire home/apt,150,10,0,1,365
13586230,Copacabana,Entire home/apt,120,7,3,2,340
894049,Leme,Entire home/apt,349,3,5,16,83
44789621,Copacabana,Entire home/apt,342,7,15,1,88
77709888,Copacabana,Entire home/apt,800,3,0,5,365
10635262,Copacabana,Entire home/apt,252,3,24,1,358
51764481,Copacabana,Entire home/apt,1198,2,5,1,365
39049578,Copacabana,Entire home/apt,319,2,15,1,73
20720949,Copacabana,Entire home/apt,79,5,0,1,365
12534334,Copacabana,Entire home/apt,1300,1,0,1,365
27215857,Leme,Entire home/apt,199,3,4,1,365
11386725,Copacabana,Entire home/apt,105,3,116,7,263
22928392,Copacabana,Entire home/apt,252,4,79,2,124
85724737,Copacabana,Entire home/apt,240,1,9,1,164
137445434,Ipanema,Entire home/apt,481,2,4,1,154
148641845,Ipanema,Entire home/apt,879,1,1,1,322
12055952,Copacabana,Entire home/apt,90,4,171,1,91
168128045,Ipanema,Entire home/apt,650,2,0,2,85
5347577,Copacabana,Entire home/apt,451,1,4,1,326
13354377,Copacabana,Entire home/apt,680,1,1,5,356
81876389,Leme,Entire home/apt,135,3,0,42,210
3413077,Copacabana,Entire home/apt,297,1,298,1,319
74839689,Copacabana,Private room,376,7,0,2,362
15976245,Copacabana,Entire home/apt,177,2,112,1,107
1492076,Copacabana,Private room,101,1,4,4,90
13219824,Copacabana,Entire home/apt,849,3,0,1,365
