host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
181028,Peter,Centro  ,Entire home/apt,237,2,2,01/08/2013,0.03,1,365
188948,Vivian,Humaita  ,Entire home/apt,548,7,0,,,1,365
196752,Douglas,Tijuca  ,Private room,94,1,2,12/02/2013,0.02,2,365
196752,Douglas,Tijuca  ,Private room,86,1,2,22/03/2018,0.16,2,365
201655,Daniel,Santa Teresa ,Entire home/apt,563,5,0,,,1,0
204112,Rita,Santa Teresa ,Entire home/apt,131,3,22,10/08/2018,0.83,1,216
211028,Lisa,Santa Teresa ,Entire home/apt,131,3,1,31/01/2016,0.03,3,365
211028,Lisa,Santa Teresa ,Entire home/apt,120,2,2,11/02/2016,0.02,3,365
211028,Lisa,Santa Teresa ,Entire home/apt,146,3,0,,,3,365
219349,Marcelo,Copacabana  ,Entire home/apt,207,3,2,08/02/2016,0.06,2,71
219349,Marcelo,Copacabana  ,Entire home/apt,207,1,1,07/01/2018,0.11,2,11
220449,Marcio,Lagoa  ,Entire home/apt,398,1,0,,,1,365
221941,Vana,Copacabana  ,Private room,116,3,20,24/09/2018,1.74,1,9
222884,Marcio,Copacabana  ,Entire home/apt,477,3,3,04/10/2018,0.08,4,285
222884,Marcio,Humaita  ,Entire home/apt,98,5,0,,,4,173
222884,Marcio,Copacabana  ,Entire home/apt,192,4,0,,,4,341
222884,Marcio,Copacabana  ,Entire home/apt,177,3,0,,,4,338
224183,Raymundo,Ipanema  ,Shared room,75,2,10,12/02/2018,0.17,3,90
224183,Raymundo,Copacabana  ,Private room,169,5,8,11/03/2017,0.14,3,362
224183,Raymundo,Copacabana  ,Entire home/apt,207,10,1,22/06/2014,0.02,3,0
224192,David,Copacabana  ,Entire home/apt,169,2,65,27/07/2018,0.91,50,274
224192,David,Copacabana  ,Entire home/apt,188,3,8,10/02/2017,0.12,50,37
224192,David,Copacabana  ,Entire home/apt,338,3,0,,,50,168
224192,David,Copacabana  ,Entire home/apt,188,3,10,05/03/2018,0.15,50,0
224192,David,Copacabana  ,Entire home/apt,300,2,35,16/07/2018,0.57,50,218
224192,David,Copacabana  ,Entire home/apt,244,3,15,07/10/2018,0.43,50,220
224192,David,Copacabana  ,Entire home/apt,244,2,18,03/12/2017,0.31,50,207
224192,David,Copacabana  ,Entire home/apt,184,2,32,13/05/2018,0.53,50,138
224192,David,Copacabana  ,Entire home/apt,413,4,1,03/04/2014,0.02,50,73
224192,David,Copacabana  ,Entire home/apt,207,3,5,06/03/2017,0.09,50,178
224192,David,Copacabana  ,Entire home/apt,150,3,8,13/03/2018,0.15,50,41
224192,David,Copacabana  ,Entire home/apt,244,3,0,,,50,269
224192,David,Copacabana  ,Entire home/apt,563,3,0,,,50,257
224192,David,Copacabana  ,Entire home/apt,319,3,0,,,50,269
224192,David,Copacabana  ,Entire home/apt,244,3,0,,,50,269
224192,David,Copacabana  ,Entire home/apt,469,3,4,18/02/2018,0.31,50,364
224192,David,Copacabana  ,Entire home/apt,225,3,0,,,50,269
224192,David,Copacabana  ,Entire home/apt,676,3,2,15/02/2018,0.04,50,214
224192,David,Copacabana  ,Entire home/apt,552,3,1,12/04/2018,0.16,50,205
224192,David,Copacabana  ,Entire home/apt,789,3,2,26/06/2016,0.05,50,255
224192,David,Copacabana  ,Entire home/apt,913,4,1,27/10/2016,0.04,50,363
224192,David,Ipanema  ,Entire home/apt,357,3,0,,,50,347
224192,David,Copacabana  ,Entire home/apt,552,3,20,08/02/2018,0.43,50,250
224192,David,Ipanema  ,Entire home/apt,338,3,0,,,50,269
224192,David,Copacabana  ,Entire home/apt,357,3,1,25/09/2017,0.08,50,221
224192,David,Copacabana  ,Entire home/apt,526,4,0,,,50,206
224192,David,Copacabana  ,Entire home/apt,376,3,0,,,50,269
224192,David,Copacabana  ,Entire home/apt,526,3,1,17/10/2016,0.04,50,153
224192,David,Ipanema  ,Entire home/apt,451,3,3,18/02/2018,0.07,50,269
224192,David,Copacabana  ,Entire home/apt,376,3,0,,,50,242
224192,David,Copacabana  ,Entire home/apt,2103,4,0,,,50,262
224192,David,Copacabana  ,Entire home/apt,939,3,0,,,50,317
224192,David,Copacabana  ,Entire home/apt,1315,3,2,15/09/2017,0.06,50,175
224192,David,Ipanema  ,Entire home/apt,526,3,1,03/01/2016,0.03,50,49
224192,David,Copacabana  ,Entire home/apt,526,4,1,03/11/2016,0.04,50,217
224192,David,Copacabana  ,Entire home/apt,413,3,1,20/08/2016,0.04,50,244
224192,David,Copacabana  ,Entire home/apt,331,3,2,18/09/2017,0.1,50,192
224192,David,Copacabana  ,Entire home/apt,188,3,0,,,50,269
224192,David,Copacabana  ,Entire home/apt,451,2,18,25/08/2018,0.92,50,182
224192,David,Copacabana  ,Entire home/apt,488,3,1,17/10/2016,0.04,50,247
224192,David,Copacabana  ,Entire home/apt,225,3,2,23/01/2018,0.22,50,311
224192,David,Copacabana  ,Entire home/apt,282,3,3,02/04/2018,0.23,50,227
224192,David,Copacabana  ,Entire home/apt,225,3,4,04/03/2018,0.22,50,199
224192,David,Copacabana  ,Entire home/apt,207,3,0,,,50,257
224192,David,Copacabana  ,Entire home/apt,1014,3,2,15/02/2018,0.25,50,67
224192,David,Copacabana  ,Entire home/apt,676,3,0,,,50,189
224192,David,Copacabana  ,Entire home/apt,1352,3,1,31/03/2018,0.15,50,186
224192,David,Copacabana  ,Entire home/apt,131,3,0,,,50,159
224192,David,Copacabana  ,Entire home/apt,173,3,0,,,50,180
224192,David,Copacabana  ,Entire home/apt,139,3,0,,,50,175
233554,Felipe,Barra da Tijuca,Entire home/apt,2329,1,7,08/01/2017,0.2,4,365
233554,Felipe,Barra da Tijuca,Private room,259,1,2,14/08/2016,0.08,4,0
233554,Felipe,Barra da Tijuca,Private room,2381,1,2,17/10/2017,0.13,4,365
233554,Felipe,Barra da Tijuca,Private room,349,1,0,,,4,364
233616,Lais,Leblon  ,Entire home/apt,1251,2,3,14/02/2018,0.3,1,89
235496,Paola & Isak,Copacabana  ,Entire home/apt,620,2,195,03/10/2018,2.42,2,269
235496,Paola & Isak,Copacabana  ,Entire home/apt,635,2,61,27/08/2018,2.32,2,303
237613,Juan,Andaraa  ,Private room,150,1,0,,,1,365
238091,Dalia,Copacabana  ,Entire home/apt,146,3,103,23/09/2018,1.37,2,341
238091,Dalia,Copacabana  ,Entire home/apt,116,3,26,17/09/2018,0.78,2,352
239326,Claudia,Barra da Tijuca,Entire home/apt,676,2,16,01/10/2018,0.5,1,81
239661,Gabriela,Barra da Tijuca,Entire home/apt,500,30,0,,,1,365
240289,Maria,Leblon  ,Entire home/apt,131,1,31,09/10/2018,2.38,4,303
240289,Maria,Leblon  ,Entire home/apt,233,1,1,05/10/2018,1,4,303
240289,Maria,Leblon  ,Entire home/apt,240,1,1,09/09/2018,0.88,4,343
240289,Maria,Leblon  ,Entire home/apt,222,1,0,,,4,343
241334,Andrea,Copacabana  ,Entire home/apt,109,4,6,29/09/2018,0.11,8,143
241334,Andrea,Copacabana  ,Entire home/apt,101,5,7,01/10/2018,0.22,8,120
241334,Andrea,Ipanema  ,Entire home/apt,398,5,2,20/02/2017,0.06,8,358
241334,Andrea,Copacabana  ,Entire home/apt,120,5,0,,,8,180
241334,Andrea,Ipanema  ,Entire home/apt,999,1,1,02/01/2018,0.11,8,356
241334,Andrea,Ipanema  ,Entire home/apt,398,5,0,,,8,355
241334,Andrea,Ipanema  ,Entire home/apt,398,3,0,,,8,0
241334,Andrea,Barra da Tijuca,Entire home/apt,398,3,0,,,8,173
242123,Nelson,Copacabana  ,Entire home/apt,188,3,6,15/02/2018,0.18,1,169
242371,Carlos Witt Dos,Gavea  ,Entire home/apt,751,10,0,,,1,365
244572,Mariela,Botafogo  ,Entire home/apt,162,3,1,28/02/2017,0.05,1,0
249191,Durval,Lagoa  ,Entire home/apt,492,3,8,11/04/2017,0.15,1,266
250384,Samantha,Leblon  ,Entire home/apt,511,3,12,06/02/2018,0.43,1,0
250973,Marion,Leme  ,Entire home/apt,150,7,0,,,1,1
255288,Danilo,Botafogo  ,Private room,86,1,3,10/10/2018,0.68,2,98
255288,Danilo,Botafogo  ,Private room,94,1,3,23/09/2018,0.64,2,62
259095,Danielle,Ipanema  ,Private room,79,5,3,07/01/2015,0.04,2,285
259095,Danielle,Ipanema  ,Entire home/apt,300,5,3,15/07/2014,0.05,2,263
259815,Valerie & Alex,Copacabana  ,Entire home/apt,432,3,157,30/09/2018,1.8,2,131
259815,Valerie & Alex,Barra da Tijuca,Entire home/apt,184,14,21,17/08/2018,0.27,2,130
261802,Mauro,Copacabana  ,Private room,203,7,0,,,2,89
261802,Mauro,Copacabana  ,Entire home/apt,451,1,0,,,2,0
261954,Elisa,Urca  ,Entire home/apt,229,1,2,15/07/2014,0.03,2,12
261954,Elisa,Leblon  ,Private room,252,1,5,04/04/2018,0.38,2,342
278412,Ruben,Jardim Botanico ,Entire home/apt,3193,10,0,,,1,363
281477,Flavio,Copacabana  ,Entire home/apt,714,5,1,04/01/2016,0.03,2,365
281477,Flavio,Copacabana  ,Entire home/apt,751,3,1,08/02/2016,0.03,2,337
292870,Tania,Flamengo  ,Entire home/apt,781,7,8,17/07/2014,0.08,2,302
292870,Tania,Laranjeiras  ,Entire home/apt,300,2,1,16/02/2018,0.13,2,178
296606,Marcus Vinicius,Barra da Tijuca,Entire home/apt,1352,5,0,,,1,0
304435,Andra,Itanhanga  ,Private room,199,2,2,01/03/2018,0.04,2,365
304435,Andra,Itanhanga  ,Private room,199,2,2,14/08/2016,0.06,2,365
307574,Leandro,Cosme Velho ,Entire home/apt,120,1,2,01/10/2018,0.25,1,110
315989,Luciana,Ipanema  ,Entire home/apt,1427,2,0,,,3,358
